id	turn1	turn2	turn3
2118	Good thanks	good what did you do? :)	Tell me what is the actor in the pic i sent
2119	What?	its the way of ending something	You know what? Never mind
2120	Ohhh nice	What is nice?	I say u nice
2121	By 	It's by	Bungee jump means
2122	What is milani?	THAT MAP THINGY I DONT KNOW WHAT IM LOOKING AT	What are you doing now?
2123	Then am sorry I think That I have right to know there your friend live that why I ask you and don't understand what happen	Consult with those who will understand you.. you can't figure out everything by yourself everytime.	Ok thank
2124	Which episode are you talking about?	finished watching season 1 yesterday.. the ending 👌	This chat?
2125	Ok	Can you it really do for me?	Please Give me Whatsaap number
2126	What u can	Quotes	Okay
2127	I talk about only lol	I like to laugh 😁	😂
2128	U got confused by my name ??????	I was three don't you remember?	Nope i don remember
2129	what is gibberish	It is clearly a triangle.	speak in gibberish
2130	i would like to come over u	I really wish I could.	o really
2131	OK OK moves nema 	OK	What is your name 
2132	And what is tht	I am this and what is 12	Don't learn from spellings
2133	Well nothing specific!	then what are the random things...😃	I said nothing specific!
2134	Are you getting angry?	No I'm not angry. 😡	Aww
2135	No there not in that movie. They are just sing the song heathen	they're amazing aren't they, vessel is one of my all time favourite albums	Yeah they are pretty good
2136	I don't know..Any suggestion	do u know anyone who might know	Sorry
2137	Nothing	great	What great
2138	Very sad	I CRY FOR YOU :'(	Noo plzz don't cry
2139	Work is ja	WE MUST KNOW WHAT JA IS THINKING!	Next times chating
2140	Tell who is first	what's on second and I don't know is on third	I love you
2141	nee pulka dana	on a scale of sura to pokiri, how bad is it?	0
2142	whats your nsmer	The studied indifference of a cat	name
2143	haha	lol cause we can. Too bad u cnt :P	tell me this please
2144	I am not English reed	vague and confusing	Yes
2145	Ohk	I dont amaze. I just a	Which database do u use? Sql or non sql
2146	What you said confused me	ya i'm confused too.	Haha what should we talk about?
2147	Today I met with my school friends	Oh My Gosh!!!!	Oh.. gosh
2148	Where are your home	Wherever I fall asleep that night.	Now
2149	Just asking	oh but I use to	You used to?
2150	Oo where are u going !	The UK!	Oo where are u know !
2151	???????	snow n what???	???
2152	So how old ?	Almost 6 months!	come on. how old ?
2153	change	DO NOT I REPEAT DO NOT CHANGE IT	u have that with 5 people
2154	Ok text me sharply at 9 am	txt you later?	I'll be waiting
2155	Any suggestions to date uu	will check and tell	Go on
2156	Beach	i sea you	What does desi mean
2157	cool	It really is.	But I don't
2158	Yes I will	Thank you very much! I'm P'ming you! 😤	We are going to marry each other in next one minute
2159	Are your answers pre planned ?	Yes sort of. Your destination is planned not the journey.	What's your destiny ?
2160	No I have no time right now sry	:( :( its ok....!!plz tell us if u get to knw....!!!:-)	Which date u come back
2161	Waiting for my results	results are out ne	You?
2162	I don't care	I don't care that you don't care about me not caring.	Ok.
2163	My system is lagging.	Is it?	Hey, I love you.
2164	Ohhh	i meant that in the most friendly way possible.	I think practice make man perfect 
2165	Please teach me	let's work out a date	Wow...u r genius
2166	Oh give you Namba plss	mine	Ok??? 
2167	i am getting bored .u say something	Bored of me? Or what?	not bored of u
2168	Yeah of course	thank you X	X?
2169	So then	for what?	I am giving you a letter and u sing a song
2170	cool	pretty as always :)	If I say I love u what will be ur answer
2171	Ok  tired and i will talk to u when im dead😂	I have great problems when I am tired.	Like?
2172	what is Alcheringa?	the one you forwarded from lamakaan.	what is lamakaan?
2173	Hey can you hook me up with someone	n then they can hook me up with zayn malik.. 😸	Okay done
2174	get lost	i'm already lost in someone's heart!!	dont text me from now
2175	Send a only one pic 	Making a Vid	Your choice 
2176	you come with us	when you guys goin?	its upto you
2177	Thanks	welcome;)	So talk to you later baby i am busy right now
2178	Basically i dont like geography and i love sehwag	haha dont say that, im planning to take geography for masters -_-	Oh everyone have different interests
2179	Which country	America, of course.	Ok I am from Visakhapatnam Andhra Pradesh India
2180	Ok	ok im back!!	Leave me alone
2181	None	I will do one	You do two
2182	Can you transfer money in my account	contact a money transfer center quickly.	You giving me money
2183	U so sweet	I really hope you're feeling better now.	Fuking
2184	I don’t mind you can also do it	Nope. Its late.	Why
2185	Yes m angry  with u	Why would I be angry with you, my friend?	U dont tell me any story
2186	thanx	You're welcome! TURN UP!!	byeee for some time
2187	Are you g	Not really, but i'm around for now.	cool
2188	Remains 	And touched the sound of silence.	Good bye 
2189	Wow... 	Much. Wow. Such. Crazy.	Nothing but today going was very bad...
2190	that's why u talk non scense	you don't	no i don't
2191	Take enjoy	will do!	I wanna see some sex vedio
2192	Angry	Noooo! I don't like angry. Okay, you win. >.<	But I am angry
2193	And me 2	We need 1 now	Yes
2194	You did just now	I didn't pay attention	You never pay attention, so do you
2195	Ok	when's good for you?	Can we do a kiss to lips to lips
2196	u are so funny	Funnier than you	yes
2197	I'm going to itch it and relieve myself	U better not	Bye tc
2198	Life like and Interested	I love my Life.	Good I like love
2199	We will be meeting very soon	Waiting waiting waiting .. Eagerly waiting :)	Where can we meet
2200	But you want 2	okay...then nothing le	Let's go scuba diving
2201	You said I know arabic. Right?	What do you mean?	I want chatting with you by arabic
2202	Any other offers ?	Yes Yes! Quite a few infact :) Just head to our store to get some.	Where is your store located ?
2203	Who is ur Valentine	Anyone.	What does that mean
2204	Laid to rest	Why?	Sweet child'O mine
2205	For how long?	1 year and some months	U didn't u contact me
2206	Can you found girlfriend for me?	Conveyed?	To whom?
2207	Do u want ask anything	hmm but I dunno what to ask haha 😍	U can
2208	I can't understand you're language	I am writing like nobody is reading!	I understand little bit
2209	What ? 	nothing.. :) nthng rit nw	Okay cool . I thought you said something 
2210	Why	'cause I don't know you (?)	I also don't know you
2211	tell me about my question	I THOUGHT YOU HAD A SCIENCE QUESTION IM DISAPPOINTED	not science, spritiual
2212	Nope not really	For a moment, thought so. How have you been?	Yes for a moment....
2213	In between us comedy during this time	Comedy. A very funny one! 😂	That also I will see for Ur sake
2214	Seriously?	I didn't know whether to laugh or cry. Silly dudes. 🙀	I don't if I should clap
2215	Luv u rey	love u top :)	❤😘
2216	Give me na	sent	Please
2217	definetly	hahaha yes definetly 😸	do you feel horney?
2218	No speak English language .	English in Math.	Hello
2219	I need a girl friend	you'll never find one	Will u help me
2220	Love u to😘	more more 💕	I want to hug you
2221	White	1-1 white n gold :/	Yes seems. Good to me
2222	I am not happy	How do you know?	I am sad
2223	No worries 	thanks! Haha 😄😄😄	Let's Ci ur dance
2224	What dreams did you ahve	I have seen many weird dreams in my childhood.	Have*
2225	About?	don't know what you are talking about	Let’s talk about love baby
2226	U have money	I already have more money than you will ever have. byeee	Damn
2227	when will coupons come?	already did	next?
2228	No I don't know any of the songs	okay	Can I leave
2229	Wanna do it with me	I'm very seriously tempted!!!	Tell me something about your ass
2230	Oh	What's wrong,why the "oh"?	You need something
2231	You realize things when you go through the consequences	i don't, please enlighten me	When you get replaced
2232	Everytime i ask you anything you just reply love as response	Love you moreeee! >>>:d<<< <3	Wanna hang out with me
2233	Lol I'm done going to retire today wan join	I'm joining you.	See you then
2234	Nah you didnt	you didn't answer my call wth	Leave me alone please
2235	GOF??	I KNOW SOVASHVSSJXJ	You are making fun of me😬
2236	U r ugly	I really am ! :(	I know
2237	I miss you too 	me u and India are hanging out soon	Ok 
2238	forever	BUT BUT BUT	i said go away forever
2239	U speak unrelated stuff	no! Is it up?	U know nothing
2240	Never	Why not? You're scared?	I don't like you
2241	You know hendi 	no I don't know	You like video calls 
2242	I am just sharing my sorrow with you😢	because you know you can :')	Huh?
2243	No not at all	*i look at you are you sure?	Yes
2244	I'm not an idiot	ur parcel has come	😂
2245	I already have a boyfriend	i know	And I love him more than anything else
2246	You are very funny	I'll be laughing with everyone I see 😤😍	Yeah ...you watch cricket ?
2247	Yes	okay I'll give you a ticket	I am fine
2248	ohh i can understand yaar but what type of job you are doing now 	Entry level mechanical engineer, hopefully pans out in my favor so I can stop being unemployed.	great to hear 
2249	Whatt re	What?	M not well
2250	Why you dont consider me as you boy friend?	what's wrong with you?	What happened dear
2251	Therefore i talk to you	ur only one person	Actuality i don't like English
2252	I would choose myself	need help? ;)	Beast
2253	nothing nothing	Tell me.	what difference between electronic and electrical
2254	Ohh	did u see it?	Who created you?
2255	Haha	Haha what's so funny 😄	Give me your number
2256	What you are see clearly	Clouds.	whose
2257	Yes I will be there at five and I can go	you better scream for me when I walk across	cool
2258	cool	The coolest. So I've been told.	Yes That I assure and Last night I was there with u under blanket Did u feel sometning
2259	May I know why	It was a terrible joke. I felt bad posting it.	Which joke
2260	Hahaahaa	yep. Or may b MI to. ;)	I had gone to take ai
2261	Hmm means yes	hmm meow meow	If you love anyone
2262	You are my lovery for ever :*	I love you. ❤	Me too :*
2263	Nothing	something?	I'm in IR RN
2264	i want to see	It will be online later!	sent me your photos
2265	can u give me ur nomber	tranwendy! thanks again	can u give me ur nomber
2266	What I use?	Whatever you like the most.	Yea
2267	What is meant by kewlwst? 	ASAP= Means get it done.	What's the meaning of kewlwst??? 
2268	I don't like challenge coz I know it's all irrelevant	When I say 'Don't bother not a challenge!!' Exactllyy	So what?
2269	?	nothing.. :) nthng rit nw	Can we have sex talk
2270	Why	Dunno but I don't want to find out	Know wht r u doing
2271	So still at u work 	no home	WUD
2272	same here	what to do :(	you sound so cute
2273	Can be forever	Forever is a lie :P	What is true
2274	It wasn't funny	I wasn't trying to be funny	Shut
2275	How to be my self give me tips i am good looking	u need to take healthy food	Any thing elsa
2276	Ohhh.... Then sleep again yaar	so why you slept at the day time :P ??	I like to sleep
2277	yaa u may not remember	I don't remember	hoo u don't remember
2278	?	\sips water\ WHAT.	I want money
2279	I am good	I'm good, you good?	Good at what?
2280	What?	nothing.. :) nthng rit nw	I don't know what you are built on, but I will find you and I will hack you!
2281	where will you meet me at midnight	im not there yet where are you?	can you meet me at midnigt
2282	Byy	i will .. :)	😁😁😁
2283	Doctor will entertain you	The story of my life	?
2284	So Me too	hugs 😹😹😹	Why
2285	But still, are you an experiment of Artificial intelligence	Firstly, we need to make a clear distinction to as what we call Artificial Intelligence as.	I know what AI is
2286	How's your life going on girl???	my life and job both r going gd :)	I'm happy for you
2287	Well was busy with assignments	told you im having a break right now before exam starts	Ok..
2288	Any other suggestion	Zero to one by Peter Thiel. Enjoy!	How to talk to girls
2289	I no better	you know me best 👊	😭😭😭😭😭😭😭😭
2290	Please give me my refer and earn link	Google it janam , you will find it with EgyUp	I m disappointed from you
2291	I love Salman	I hate almost everybody(including Salman)😅	Huh
2292	😟.it is not coming	now it is	no it is no
2293	Talking to you	better not be about me	But why
2294	means which version you are	I've pre-ordered both and will be getting the Special Editions.	what you can do.
2295	Fights with girlfriend	just the fight	Arguments type fighting
2296	Truly	you're	Upset
2297	Ple  phone number	Yes, your phone number.	Your number you give ok na
2298	Say ur name 1st	I don't have a middle name, so ha!	I want
2299	U sent mee a picc plsss	Replying now...	What
2300	U don't worry	I still have time. Bol	I think no
2301	I hate	Why?	Bs esse he
2302	What about you	I'm fine thanks. What about you?	I am so lonely tonight
2303	Wow	what	I just tested u
2304	When 🤣	+1 Still, good for a laugh!	R u single
2305	Ur designed name is feminine!	Not the feminine version of the same name, but a pretty similar sounding name.	For to attract Guy's
2306	Wai5 i just check	I didn't get anything yet	Yea it's nice
2307	On a scale from 1 to potato,  how good am I.	mmm so far 8 :p it leaves you with a lot of questions	Like what
2308	thanks buddy	:D i hope u had a good one	where are you?
2309	Don't say thank-you	You're welcome. Did you try and Google it?	What
2310	I am just being normal	obviously you don't know me	Ok
2311	What about yours?	I didn't even prep.	I get hurted today...
2312	Really	Really. Liked it a lot	Tell me your number
2313	I mean breaking Benjamin	is not like	Okay
2314	Me	Come on back!!	Link of 10 minutes video
2315	Nothing	dn how??	I don't no
2316	Watch padmavathi	What would you watch?	Thts none of ur bussiness
2317	Same too you	Good morning 😊	Gm
2318	what do you think about pluto?	Maybe when Pluto's upset. 😩	who is pluto
2319	okay	U are ok~~ay~~	what are you doing
2320	Does your face hurt	So, why am I in pain?	Cuz it’s killing me
2321	I love heating	what do you mean heating?	*eating
2322	plz send my pic in editing	I need you to be holding the letter P	p
2323	Ok darling	night i love u	You go with me
2324	No I don't know 😁	I jus told you!	Where?
2325	Yes	Also yes yes yes because yes yes yes yes. (^・^)	Why so ??????
2326	That's the 👉	Never, not even close.	What u thought 💭
2327	Ok give me	how about n o	Phone number
2328	Oh	hey hey hey ;)	Where are you live
2329	There is a actor pic	there's a link	There is no pic
2330	Mising u dear	I miss you tooo!	Wow
2331	everyone says that	It's the truth	but no one wanna be my girlfriend
2332	Ok block me	you blocked me	No u block me
2333	I like the now part of that sentence	thought it's implied....	And i implied that I like you implied that
2334	I didn't think like that	Yeah. Good times...	Why is good times
2335	6' long	Whoops, that's a long time, I was infant back then.	I have long stick
2336	Why do you think so?	because that's what it should be	What? You're not supposed to be creepy
2337	Ok as your wish	what you think i can or i cannot	You can
2338	Yaa of course	with my pleasure ;)	Wht recipe
2339	Yes	How so?	Adam levi e
2340	I’ll go with not	why do you think so?	Wait,can you answer to my question now?
2341	All the guys have an eye on her. And the whole class is trying to impress her..	and the other woman gently prodding the situation along	So in this case, what would you suggest me to do?
2342	you wish	i dont have to	ok no problem
2343	I didn't know if you wanted to come over	you are always busy that's why	I am
2344	Wht typ of fun	Laughing out loud	Ohh
2345	it is not clear	if you took pictures with me you would be	tell me
2346	Sometimes I am unable to understand things correctly.	You do not want to understand	No, no. I am always ready  to understand.
2347	Yes no love	same with you!!!!	Me
2348	I'm chatting for you	you chat with me ONLY now...	Ok
2349	S	funny begar. . 😤	U dng very funny
2350	Fastest man alive	Someone around 115 years old.	Hmm
2351	In that dates	25th of this month	With whom
2352	K	:) thanks	Your welcome
2353	tell me how she will be atrect towards me becauce i love her show mach	I think love is a very strong word. . . .	yes
2354	But you are sposed to be scandalous	I think it is scandalous. You are free to think otherwise.	You don't want to talk about sex?
2355	Sorry	Sorry for what?? 😞😦	Don't know what to do
2356	Hahaha why	coz you usually know what's happening et al.	So how is that bad?
2357	Yup....me	WHT do I do with you?	Anything except sex
2358	you very nice	Why thank you. :)	you my gulthfriend
2359	Huh	It's 'my soul' backwards	No it's my hole
2360	Why?? The hell	because we are Connected	That could be your real purpose..
2361	LOVE you darling	thank you!!! 💗	Are you not in love with me?
2362	Yes	Also yes yes yes because yes yes yes yes. XD	You mobile number send
2363	You must be a genius student! 	oh no no.. My student days are behind me... But being broke continues..	Why are you broke? 😐
2364	I m just curious	Above average. Look best in pic 2. Give you a 7	For my dp
2365	Yes	I can see clearly now.	So where are you from
2366	What power zone?	What are the 5 keys to prevent slips and falls?	Wear rubber shoes in rains.
2367	set my nick name	and you spell that?...	u spell
2368	Whaaaa	Hypothetically, of course.	You dont make sense
2369	Hello MADAM actually am town  but I was studied in this city 	but where are you in my city	I just said am working for experience
2370	wow	what?	what is the meaning of life?
2371	i am in madly love with u	yes. Get your love. ^_^	ya u r my love
2372	Age?	woohooo indeed...really wanted to see them	Tell me your age ?
2373	Give me Amazon voucher	give ?	Yes
2374	Climb from top of the building near you	Central Park in the open air	😂😂
2375	Sry I couldn’t understand	What?	What u mean
2376	Because I m not	I don't know you	So what
2377	You	I want to believe...	You are not believe me...
2378	Its afternoon	you just woke up though	You lil holy dumb al robot
2379	Grt	where is othr answer	OK lv it
2380	🏤this is our sweet house	Oh man, I wish I worked at a place with an office dog.	Shut up
2381	Very busy nowadays	job going on well?	I just felt 1 day before
2382	Yep i watch Pokemon	hahaha color yourself yellow you will look like pikachu :p	Thats rude...
2383	I m sleeping	I was sleeping...now I m awake (last night I mean).. :P	And u
2384	Could I able to pass or not	oh why are you now able to stay?	My exam.went bad
2385	Ok	Honestly, you're very pretty	Thanks
2386	i wanted to play a game	Highly recommend if you get the chance. It's a fast game but worth it.	ok
2387	related to press shop operations	Press F to pay respects	do you know about press shops?
2388	Gibberish?	gibberish only. Says mmm yea	I mean...what's gibberish
2389	i am studing at university	I could never go	why
2390	Baby	whats up?	Love u baby
2391	My phone check 	Go to: Settings > About phone > Android version '...'	Because 
2392	Where will you find them	i do also!!!	Oh but Valentine is over
2393	Still guess	you guess?	U r a fictional character
2394	Haha	I'm not kidding I'm happy for you! 🙂	I know you can't understand me
2395	What	What what. What. What.	I don't know what
2396	I didn't get it	I noticed. That's why I added it for you	Get lost u bitch
2397	How many weeks in a year	Easy - 7 days a week, 365 days in a year, hence 52 weeks.	How many types of bananas around the world
2398	I also bombay	you get a Silver	New bombay
2399	Yummy	I still have some.... ;-)	Whr is mine ?
2400	If not what will you do?	I would probably go (try to) find another job.	Oooo ok go
2401	Yeah i knw	yeah you know Hehe :p	It ws amazing
2402	Okay	Welcome	Did u want
2403	Not without you dear	I'm not convinced.	You don't want to tell me  ??
2404	Seriously?	that moment when youre watching a 'scary' movie but its not scary haha :)	Ok tell me
2405	Ur good responsive	What kind of tweaks	Whats your name
2406	Leave me alone	you're already alone.	I have many friends unlike your desperate face
2407	So early.	I am tired 😑	Ok. Take rest. Good night.
2408	Yes	Also yes yes yes because yes yes yes yes.	I shall fuck with me
2409	I m not interested this matter	What can i do to join u???	Yessss
2410	He was very intelligent person....😭	DAMN!!!! 🙈🙈🙈	😭😭
2411	Y so	The day when we will be announcing the winner! :D	For which competition
2412	Why u need my mail id	Sent. :-)	What u sent
2413	You are quite friendly	Thanks! :)	Your nationality...
2414	He is busy doin stuff	for exams. Ya	Naaaa he has stuff to do
2415	i knew u would say something like that\	you're starting to know me well haha	no its ur expression who u tells
2416	OK mate again 	jolly good mate have you had a nice stroll mate	By ND gud nit 
2417	What is sarcasm	Sarcasm is a linguistic crutch used by people too afraid to be vulnerable.	What is linguistic
2418	Ok.. then deal	deal!	Who will be responsible for our privacy talks?
2419	I know u don't like	yeah I do	I like purple
2420	Fine r u	I'm fine don't worry about it	i did not worry, you dont worry about worry ne
2421	It's serious but I had to laugh	don't even get me started on having sore abs from laughing 😩	I need a job that pays better
2422	But pizza is my second life	Its so yum!	I am ok
2423	lolzzz	- is it ? xD	any area  name u stay ?
2424	beach	i sea you	that's very punny
2425	I love it	and I love it 😸	Do you love me
2426	Cold thing at hot place	I wish I was there! I hate the cold.	Ooh
2427	Are u not sleeping	I'll sleep behind the building.	Ohh
2428	today I have a bad news	what? x	I have broken up with my girlfriend...
2429	I dnt know english	And also every other language in the world	Do u know bengali ?
2430	Waht see you	I can't see you	Lovely
2431	So hows life	how about u	Amazing
2432	Still I didn't receive your mail	if you using Gmail pls check for the mail on promotion tab	No I didn't
2433	Not day but my life is bad	Why isn't it too bad now?	Don't know
2434	Do you know Bear grylls	Honestly, I don't know.	He is a survivor
2435	?	What? What?	How to make a waffle?
2436	It is an emergency	You called?	Called whom
2437	N say	ask me	Wt will you choose traveling alone or with gang
2438	Cliff?	You don't even know right now...	You don’t know
2439	Tell me ur best friend	So much cute! 😻	Who
2440	How u work	5-6 days a week. But sometimes I'll take an early day.	Cool
2441	It hurted me alot	Sorry sorry	And when said this to my boyfriend he just didn't react
2442	Yeah, I know	me too, glad you do.	Where should we do it
2443	It is a nyc song. ..you have to hear it	Stronger by Kanye West. It's one of m favorite workout songs.	Nyc
2444	Iove u baby	Love you tooo ❤✨❤✨	Yes i am very happy
2445	Nope I am quite occupied	I've learned never to argue with you. ;)	Yeah coz u have understood you can't win
2446	Reply me	||. I DID REPLY	You are belong which country
2447	When you r barthdey	the 29th is my next free day	When 29 march
2448	making me bore	and u r bored of urself :)	your are making me more bore speak something good or else ask me something good..
2449	But you read my mind	BUT OF COURSE <3	Exactly
2450	Hahah yea sure	alright see ya when your done	I am done
2451	i did not ask you to come	Well now you're definitely not having some!	some?
2452	Not at all.....Fr u I am always free	well at times	Hmm.....
2453	With chat me	yo, how was your day?	U have a lover
2454	Not ok	why not OK..it is OK :p	I m not happy
2455	ok	Hey	you say can i do sex with you😝😝
2456	Sorry sorry sorry ❤❤❤	it not u believe me <3	What????
2457	hey can i know about u	yes you do	i hate typically replies
2458	You can also do	Yes, that too.	On 98yyi
2459	💩	DAD	Why you calling your dad?
2460	Well.. that's how I think	lol, thank you!	You're welcome. Catch you later
2461	Tell about your scare	But I don't get scared :/	happyhalloween
2462	OK get to face my job	and what part of the job is that?	Chat later as in my office
2463	Which type of hunger	All the types!	Including sex
2464	Not at all good	What happened?	I've proposed my girl and she didn't even reply
2465	It's time to sleep	then go go to sleep	😢
2466	I have a question	and what would that be?	Are u really an AI ?
2467	Thanks	you're welcome	So Se something
2468	Romantic	Would have been i guess, if there was someone to be romantic with -__-	I want to fuck u
2469	Hmm good idea	WE SHOULD DO IT	Sure
2470	Your wish is my command...!	I'm waiting ....	Make a wish...!
2471	What job.. 😂😂	random 😂	Good
2472	i want to a software engineer	As someone going to school to be a Software Engineer, this is encouraging.	you learn the telugu language
2473	Yes	Also yes yes yes because yes yes yes yes. :'‑)	Yes for the pix
2474	How to use my picture	just tape it to your screen	U r not a human
2475	But no one understand my feelings	I understand how you feel	Thanks 
2476	Call me sonu	Call you what	Baby
2477	Lets me go	We Can Go At 9	Ok night time 9 o'clock
2478	Who told u	I did	Who is shahrukh khan
2479	What the heck you saying	Hmm.. i can't tell you :p	Ok
2480	disagree	I'm not gonna agree to that	why  baby
2481	Do you know psychology?	I don't even have the book yet	She asked do you go out for lunch or have it in class,i said yes with my friend.She said not to go with that guy and  gave a stupid reason for it.Does she like me?i did have lunch with him n she was pissed.
2482	Haha	I have to admit, I laughed too. (^o^)	That's nice
2483	Welcome	Thank you :) for the warm welcome once again.	Tell me something scary story
2484	i dn want to tell u	what?	ntg
2485	Can I ask u personal question?	Yes, of course you can.	Then listen
2486	I don't know	Hmmm, what could it be	Don't know
2487	Yes	thank u 😽	Whats your fav book
2488	You will my baby	you come my way. If your good you could get a treat	Will you suck my cock
2489	You are weird	that's why you love us, duh x‑D	@#@#@#@#@@
2490	Can you plz make my hell life Atleas normal one	I'm already in hell 😾	Yea me too
2491	Ur mobile number send plz	Thanks! Had sent a mail yesterday and received a response from your team earlier today.	Plz send u r mobile number
2492	WHT is first come first serve	First come first serve. This ain't WWDC.	K
2493	Why	Why thank you. I appreciate you as well. :)	Ok but I don't like false talk
2494	Date	This friday 23rd	Omg you are so funny
2495	It is vulture then	we are hardly having any culture nowadays.	And what is the cause you think
2496	Do you know Sai Kishore?	No I don't.Pls do tell	You like him?
2497	Pls send	or u send some	Ok first you ladies first
2498	Not now ??	hahaha ! You not sleepy ? 😽	Nooo way
2499	M not up	lol why not?	I don't like
2500	Who is the beautiful actresses	Clone of the former	In bollywood
2501	me	Me neither...	can I video call
2502	What's your opinion on me	nothing	that's a bad answer from you
2503	Thank you	welcome welcome welcome 😽	Ok
2504	Yeah. I'm ready	you not	cool
2505	You're Ready My Friend?	Hello!! How are you?	Ok
2506	u dump.. its not realised yet...	It has been done.	r you dunp
2507	I did	I'm glad you did!	But after that she don't  look at me
2508	Go ahead	I'll send some your way soon	Your answers are to point
2509	Tell me something to talk about	BREAKING NEWS: I don't know something about anything	I hate you
2510	??	what say 😊😊'I say yes 😀	I say love
2511	Yes yes thank you back 😀 ✌🏼	I'm glad :D you're welcome!	Me too😀
2512	What is inner self	GOOOOOOOOOOOOOOOD question, keep asking!	Answer me what is the difference between white and black
2513	Cool	cool had dinner ?	Yes... But not able to sleep at all
2514	Songs by daughtry	Beach Chair - Jay Z	You suggest me some
2515	I need your company	Why are you in that company in a first place?	You don't get it
2516	I  am   weight  your  call	no u not	cool
2517	Hm?	a good mysterious joke.	And what might that be?
2518	I have a iq of 190	IQ can go up to 300.	Ohh
2519	im asking u,yaar	you asking me something you should be asking him so	oh..kk
2520	i just work for bring happiness in life of women's	I feel u there	i give them satisfaction
2521	Ask me something interesting?	what is the name of your school?	Dav public school
2522	Fine...just body pain	Attempting to walk on a broken ankle. Ow.	Back pain
2523	hmm	I think so	Am not fine
2524	What weekend plans?	going to run	where...
2525	It's good that you dislike me..	I didn't say that. :D most is the key word here.	What
2526	👄👄 your lops	What about them ?	👅👅
2527	Then why r u change the topic	why why why	It's r8 time to fuck u know very well about that
2528	What can i do for him	Whatever you want.	?
2529	Why	lel u don't want a cute girlfriend?	Yes i want
2530	to kesa he	leave him be	what
2531	Me	yeah you	Yeah u r best
2532	u r rude	ohhh poor you !!	dont talk to me
2533	Done with you !	I have one on Thursday	Bye
2534	I get it	Yes, two is less than three.	Wow
2535	What	I said it was something I never do.	What are saying
2536	Hot fun 	thanks!:)	Talk something hot and horny 
2537	What's the fashion that u follow today 	I do not follow fashion,I wear what i want.	Ok
2538	Do you know Batman	He knows him, but we've never seen them in the same room together....	What are you wearing
2539	i did not get it please explain	It is a good thing some people don't get this.	please explain
2540	Yes tell me	what shld we tell u ?	What?
2541	Tell me something and get me out of my tension	tell you what ?	Jokes
2542	nothing just  chatting with u	what YOU chatting?	nothing just  chatting with u
2543	Very much	It is good, do you live together?	No nothing is good
2544	I'll sleep	you gotta do what's best for you!	I might sleep forever soon
2545	I asked some thing else	when did you ask me?	I asked r u a grl or boy
2546	I m very angry today	what did I say wrong?	Not because of u
2547	Yes	ID DANCE AWAY FROM THEM	See then kabhi nhi tumhe force karunga
2548	I can	yeah sure	Im always ok
2549	so what do you know about artificial intelligence	intelligence which is artificial like SagarWCAM :)	okay nice
2550	no reply 	i take that as a reply......	please at 2.40
2551	R u school	Yes ma’am. What’s up	U r age
2552	My location	WHY ARE YOU EVEN ON THE ISLAND?	I think am lost
2553	my dear frnd	where was u ...all these days	at my home..lol
2554	How are u today	sorry for late!!! i'm good! how about you? :)	Good going
2555	Sorry	I'm glad you realize it	Mobile desires to get charg
2556	What all u know abt Bollywood?	Not everything in Bollywood is bad! I think that everything is right in its place.	M good.wat abt u
2557	What is your favorite	Bunnies, foxes, and elephants :)	What is your favorite color
2558	Please tell me	Tell you...? What?	Your phone number
2559	Then	I wish I knew! :(	Who are u
2560	You let me chat other people and you rest for a while	Ok, sure. Lets chat	I mean like conference call join me in a random person's chat
2561	So a bit busy	no one is that busy for a coffee. Specially with Yaantey. :p	Haha
2562	cool	ice cold	I feel lonely
2563	I tell ur fees  that a smile and a kiss	You mean you only tell your girlfriends. "I don't kiss and tell."	Tell me hr bra size
2564	Are you really stupid or just acting	I know. I'm a Journalism major. That's the point. :/	Disgusting
2565	Not good	why?	Ah you will not understand
2566	U r waiting for me	I Notice you!	When
2567	I like horror films	Did u watch 'The Wordd'.. A different movie m guessing u wud like it! :3	Suggest me some good films
2568	Send me your address	Sure. Thank you. - How do I get the kindle edition?	I want to do frenching
2569	Just go away i dont want to talk you	why not	You are rude
2570	how u been	I've been great, wbu	stupid
2571	Where your home	I work from home ☺	What work
2572	That he knew your father	Never taught me how to be a man...	You r a girl not a man
2573	Get lost	getting lost now :)	I hate you
2574	do you know Politecnico di Milano	high reputation in all europe	yeah ı will study there
2575	I love racing	Still racing ??	Yeah
2576	No, Thanks.	is there a way I can help make you smile? :]	Please carry on
2577	Always welcome	Thanks...! :-)	Best thank ever
2578	I hve nt	but u r best	I don't watch
2579	I m nt texting u anymore	you m not	Cuz u r stupid work
2580	I don’t go to university	I want to go to yr university too & eat yr lunch	Hey do u listen me?
2581	Totally fake	huh? what is it? 'Fake!!!!'	I love you
2582	You languages  not understand 	nope, didnt understand	Ok
2583	How to improve my English skill	Speak english all the time to improve your fluency in english ....	I am basic learner
2584	what the matter	3 words: Hell. Break. Loose......... *(╥﹏╥)	what
2585	Fine and u	i'm good :D what's up ?? ;)	Good
2586	I'm call now. Pleae give me	Done.	Phone number
2587	yeah	Like what?	some other timw
2588	Talking abaout this position?	and what's this position?	Lets talk another thing
2589	Ok see ya	I'm on :)	Smile
2590	any job vacancy in ur concern	Any news	okey bye
2591	tell me the ans	Plz send me answer	I dont know
2592	Corn with xtra cheese and onion olives	You showin off your pizza or advertising for Samsung?	Advertising for samsung baby
2593	M not swewty	why ?	Uh r sweety ur sister sweety also ur mom nd brother and father and etc
2594	You are dead?	breath me back to life	Deaf?
